Indice,Nombre,Ticker
us-spx-500,Boeing Co,BA
us-spx-500,General Motors Company,GM
us-spx-500,Chevron Corp,CVX
us-spx-500,Citigroup Inc,C
us-spx-500,Bank of America Corp,BAC
us-spx-500,AT&T Inc,T
us-spx-500,Caterpillar Inc,CAT
us-spx-500,Intel Corporation,INTC
us-spx-500,Microsoft Corporation,MSFT
us-spx-500,Ford Motor Company,F
us-spx-500,eBay Inc,EBAY
us-spx-500,Dell Technologies Inc,DELL
us-spx-500,Walt Disney Company,DIS
us-spx-500,Dow Inc,DOW
us-spx-500,Cisco Systems Inc,CSCO
us-spx-500,Deere & Company,DE
us-spx-500,FedEx Corporation,FDX
us-spx-500,General Mills Inc,GIS
us-spx-500,Corning Incorporated,GLW
us-spx-500,Goldman Sachs Group Inc,GS
us-spx-500,JPMorgan Chase & Co,JPM
us-spx-500,Kimberly-Clark Corporation,KMB
us-spx-500,Kraft Heinz Co,KHC
us-spx-500,Coca-Cola Co,KO
us-spx-500,McDonald’s Corporation,MCD
us-spx-500,Eli Lilly and Company,LLY
us-spx-500,Oracle Corporation,ORCL
us-spx-500,Merck & Company Inc,MRK
us-spx-500,Motorola Solutions Inc,MSI
us-spx-500,3M Company,MMM
us-spx-500,Vertex Pharmaceuticals Inc,VRTX
us-spx-500,Monster Beverage Corp,MNST
us-spx-500,Fifth Third Bancorp,FITB
us-spx-500,Cintas Corporation,CTAS
us-spx-500,Autodesk Inc,ADSK
us-spx-500,Gilead Sciences Inc,GILD
us-spx-500,Alphabet Inc Class A,GOOGL
us-spx-500,Fiserv Inc,FI
us-spx-500,Adobe Systems Incorporated,ADBE
us-spx-500,Qualcomm Incorporated,QCOM
us-spx-500,Warner Bros Discovery Inc,WBD
us-spx-500,Applied Materials Inc,AMAT
us-spx-500,Steel Dynamics Inc,STLD
us-spx-500,Cadence Design Systems Inc,CDNS
us-spx-500,Microchip Technology Inc,MCHP
us-spx-500,Wynn Resorts Limited,WYNN
us-spx-500,Intuitive Surgical Inc,ISRG
us-spx-500,Nasdaq Inc,NDAQ
us-spx-500,Henry Schein Inc,HSIC
us-spx-500,Paychex Inc,PAYX
us-spx-500,VeriSign Inc,VRSN
us-spx-500,Apple Inc,AAPL
us-spx-500,Fastenal Company,FAST
